timestamp_s,climate_temp_C,temp_01_C,temp_02_C,temp_03_C,battery_temp_mean_C,battery_temp_min_C,battery_temp_max_C,battery_temp_spread_C
25935.055706,24.977474212646484,25.945770263671875,25.859100341796875,25.82391357421875,25.876261393229168,25.82391357421875,25.945770263671875,0.121856689453125
25936.025706,24.977474212646484,25.97265625,25.80718994140625,25.73382568359375,25.837890625,25.73382568359375,25.97265625,0.23883056640625
25936.995705999998,24.97747039794922,25.935516357421875,25.8345947265625,25.796600341796875,25.855570475260418,25.796600341796875,25.935516357421875,0.138916015625
25937.965706,24.969411849975586,25.9239501953125,25.83251953125,25.79010009765625,25.848856608072918,25.79010009765625,25.9239501953125,0.13385009765625
25938.945706,24.96613311767578,25.951202392578125,25.84478759765625,25.792694091796875,25.862894694010418,25.792694091796875,25.951202392578125,0.15850830078125
25939.915706,24.96876335144043,25.9310302734375,25.808868408203125,25.7945556640625,25.844818115234375,25.7945556640625,25.9310302734375,0.136474609375
25940.885705999997,24.972814559936523,25.934814453125,25.820526123046875,25.78826904296875,25.847869873046875,25.78826904296875,25.934814453125,0.14654541015625
25941.855706,24.97365379333496,25.913543701171875,25.824310302734375,25.80108642578125,25.8463134765625,25.80108642578125,25.913543701171875,0.112457275390625
25942.835705999998,24.976272583007812,25.91986083984375,25.821319580078125,25.790863037109375,25.844014485677082,25.790863037109375,25.91986083984375,0.128997802734375
25943.805706,24.980186462402344,25.936859130859375,25.830780029296875,25.779327392578125,25.848988850911457,25.779327392578125,25.936859130859375,0.15753173828125
25944.775706,24.98558807373047,25.9107666015625,25.8148193359375,25.7906494140625,25.8387451171875,25.7906494140625,25.9107666015625,0.1201171875
25945.745705999998,24.98558807373047,25.926025390625,25.831207275390625,25.80755615234375,25.854929606119793,25.80755615234375,25.926025390625,0.11846923828125
25946.725705999997,24.991748809814453,25.928680419921875,25.8148193359375,25.77471923828125,25.839406331380207,25.77471923828125,25.928680419921875,0.153961181640625
25947.695706,24.998140335083008,25.939239501953125,25.8226318359375,25.784515380859375,25.848795572916668,25.784515380859375,25.939239501953125,0.15472412109375
25948.665706,25.00140380859375,25.923187255859375,25.8291015625,25.792877197265625,25.848388671875,25.792877197265625,25.923187255859375,0.13031005859375
25949.635705999997,25.00529670715332,25.933502197265625,25.824615478515625,25.77728271484375,25.845133463541668,25.77728271484375,25.933502197265625,0.156219482421875
25950.615706,25.01742935180664,25.91278076171875,25.8304443359375,25.799774169921875,25.847666422526043,25.799774169921875,25.91278076171875,0.113006591796875
25951.585705999998,25.027433395385742,25.93719482421875,25.838653564453125,25.807220458984375,25.86102294921875,25.807220458984375,25.93719482421875,0.129974365234375
25952.555706,25.031204223632812,25.941314697265625,25.8345947265625,25.8187255859375,25.864878336588543,25.8187255859375,25.941314697265625,0.122589111328125
25953.525706,25.02705192565918,25.943359375,25.860595703125,25.79815673828125,25.86737060546875,25.79815673828125,25.943359375,0.14520263671875
25954.505706,25.02373504638672,25.9366455078125,25.820526123046875,25.7945556640625,25.850575764973957,25.7945556640625,25.9366455078125,0.14208984375
25955.475705999997,25.02373504638672,25.938323974609375,25.84307861328125,25.80645751953125,25.862620035807293,25.80645751953125,25.938323974609375,0.131866455078125
25956.445706,25.016414642333984,25.91912841796875,25.836181640625,25.7813720703125,25.845560709635418,25.7813720703125,25.91912841796875,0.13775634765625
25957.415706,25.001428604125977,25.93719482421875,25.8070068359375,25.8109130859375,25.851704915364582,25.8070068359375,25.93719482421875,0.13018798828125
25958.395706,24.995662689208984,25.93646240234375,25.8291015625,25.80645751953125,25.857340494791668,25.80645751953125,25.93646240234375,0.1300048828125
25959.365706,24.987701416015625,25.920745849609375,25.814422607421875,25.771942138671875,25.835703531901043,25.771942138671875,25.920745849609375,0.1488037109375
25960.335705999998,24.985523223876953,25.920745849609375,25.833770751953125,25.8048095703125,25.853108723958332,25.8048095703125,25.920745849609375,0.115936279296875
25961.305706,24.986356735229492,25.93646240234375,25.815185546875,25.803131103515625,25.851593017578125,25.803131103515625,25.93646240234375,0.133331298828125
