timestamp_s,voltage_V,current_A,power_W,power_calculated_W,phase
0.205583,49.302825927734375,-0.0009059906005859375,-0.04466789588332176,-0.044667896872852,rest
1.425583,49.30307388305664,0.000476837158203125,0.023509537801146507,0.02350953764107544,rest
2.645583,49.303226470947266,0.0021457672119140625,0.10579324513673782,0.10579324680293212,rest
3.865583,49.302730560302734,-0.0038623809814453125,-0.19042593240737915,-0.19042592884943588,rest
5.085583,49.30274963378906,-0.001621246337890625,-0.07993189990520477,-0.07993190229171887,rest
6.3055829999999995,49.30318832397461,0.0047206878662109375,0.232744961977005,0.2327449628864997,rest
7.525582999999999,49.303245544433594,0.00152587890625,0.07523078471422195,0.07523078238591552,rest
8.745583,49.303321838378906,-0.006389617919921875,-0.3150293827056885,-0.3150293887301814,rest
9.965582999999999,49.30316925048828,-0.0011920928955078125,-0.0587739571928978,-0.05877395778952632,rest
11.195583,49.303226470947266,0.000286102294921875,0.014105766080319881,0.014105766240390949,rest
12.415583,49.30339813232422,-0.0004291534423828125,-0.021158723160624504,-0.021158723029657267,rest
13.635582999999999,49.302921295166016,4.76837158203125e-05,0.0023509464226663113,0.00235094648814993,rest
14.855583,49.303245544433594,0.0012874603271484375,0.06347597390413284,0.06347597263811622,rest
16.075582999999998,49.30295944213867,0.000762939453125,0.03761517256498337,0.03761517291422933,rest
17.295583,49.30339813232422,-0.00019073486328125,-0.009403876960277557,-0.009403876902069896,rest
18.515583,49.30326461791992,0.0034809112548828125,0.17162029445171356,0.171620288710983,rest
19.735583,49.30276870727539,9.5367431640625e-05,0.004701878409832716,0.004701878424384631,rest
20.955583,49.302978515625,-0.000476837158203125,-0.023509491235017776,-0.02350949216634035,rest
22.185582999999998,49.303321838378906,0.0001430511474609375,0.007052896544337273,0.007052896762616001,rest
23.405583,49.30307388305664,-0.0070095062255859375,-0.345590204000473,-0.34559020332380896,rest
24.625583,49.30299758911133,-0.00095367431640625,-0.047019001096487045,-0.04701900252257474,rest
25.845582999999998,49.30295944213867,0.000476837158203125,0.02350948378443718,0.023509483071393333,rest
27.065583,49.303016662597656,-0.00209808349609375,-0.10344184190034866,-0.1034418455674313,rest
28.285583,49.30280685424805,-0.0005245208740234375,-0.02586035057902336,-0.02586035134299891,rest
29.505582999999998,49.30307388305664,-0.0013828277587890625,-0.06817766278982162,-0.06817765915911878,rest
30.725583,49.30299758911133,-0.0002384185791015625,-0.011754750274121761,-0.011754750630643684,rest
31.955582999999997,49.30280685424805,-0.00019073486328125,-0.009403764270246029,-0.009403764124726877,rest
33.175582999999996,49.302940368652344,0.00133514404296875,0.06582652777433395,0.06582652713404968,rest
34.395582999999995,49.302711486816406,-0.0034332275390625,-0.1692674309015274,-0.16926742682699114,rest
35.615583,49.30341720581055,0.002193450927734375,0.10814462602138519,0.10814462621056009,rest
36.835583,49.302921295166016,0.000476837158203125,0.023509465157985687,0.023509464881499298,rest
38.055583,49.30316925048828,0.0006198883056640625,0.03056245855987072,0.030562458050553687,rest
39.275583,49.302978515625,-0.0013828277587890625,-0.06817752867937088,-0.06817752728238702,rest
40.495582999999996,49.303245544433594,-0.000667572021484375,-0.03291346877813339,-0.03291346729383804,rest
41.715582999999995,49.30299758911133,0.001239776611328125,0.06112470477819443,0.06112470327934716,rest
42.945583,49.30328369140625,-4.76837158203125e-05,-0.0023509636521339417,-0.0023509637685492635,rest
44.165583,49.30309295654297,-0.0011920928955078125,-0.058773867785930634,-0.058773866840056144,rest
45.385583,49.302825927734375,0.0003337860107421875,0.016456592828035355,0.016456593584734946,rest
46.605582999999996,49.303016662597656,-0.0021457672119140625,-0.10579279810190201,-0.10579279660305474,rest
47.825582999999995,49.30299758911133,-0.00152587890625,-0.07523040473461151,-0.07523040403611958,rest
49.045583,49.30307388305664,-0.0009059906005859375,-0.04466812312602997,-0.044668121518043336,rest
50.265583,49.30356979370117,-0.0001430511474609375,-0.007052932400256395,-0.00705293223290937,rest
51.485583,49.30286407470703,-0.002384185791015625,-0.11754719167947769,-0.11754718798329122,rest
52.715582999999995,49.30257797241211,0.0013828277587890625,0.06817696988582611,0.06817697340011364,rest
53.935582999999994,49.30316925048828,9.5367431640625e-05,0.004701916594058275,0.004701916623162106,rest
55.155583,49.303436279296875,-0.0004291534423828125,-0.021158739924430847,-0.0211587394005619,rest
56.375583,49.30316925048828,-0.0014781951904296875,-0.07287970930337906,-0.07287970765901264,rest
57.595583,49.3028450012207,0.0006198883056640625,0.030562257394194603,0.030562257052224595,rest
58.815583,49.30269241333008,-0.0002384185791015625,-0.011754677630960941,-0.011754677871067543,rest
60.035582999999995,49.30267333984375,-0.0026702880859375,-0.1316523402929306,-0.13165234122425318,rest
165.21480599999998,49.302730560302734,0.004863739013671875,0.23979561030864716,0.23979561410669703,rest
