event_type,event,start_s,end_s,duration_s,python_capacity_Ah,python_energy_Wh,mean_current_A,minimum_voltage_V,maximum_voltage_V,quantity_difference_div3600_pct,energy_difference_div3600_pct
Laden,1,11255.3583984375,11443.3837890625,188.025390625,2.713756649481502,136.03233616062994,51.985517513286666,49.720401763916016,50.36632537841797,0.03326052348466556,0.032992104446865296
Laden,2,18644.7890625,18733.642578125,88.853515625,1.2812788111633515,64.33375065900034,51.96878360502657,49.95372772216797,50.366172790527344,0.08608984196351768,0.08590254128898062
Laden,3,48685.85546875,58138.11328125,9452.2578125,136.50560805567764,6218.899880170756,51.990252640764325,41.363162994384766,50.34910202026367,0.0005599110307385964,0.0006770116713070234
Entladen,1,25935.046875,35659.80859375,9724.76171875,140.4206019587384,6152.553412690727,52.00912856043779,39.59968566894531,49.6619987487793,0.00029268334796626167,0.0002631510858019443
